Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
44;Jayden Kelly;18:01:44.909;2:26.494; ;;;;;1
89;Bashar Mardini;18:03:11.222;3:52.807; ;;;;;1
2;Dorian Boccolacci;18:05:04.335;5:45.920;Dorian Boccolacci;18:05:54.372;6:35.957;50.037;;2
2;Dorian Boccolacci;18:08:07.500;8:49.085;Dorian Boccolacci;18:09:35.600;10:17.185;1:28.100;;3
87;Rinat Salikhov;18:10:55.787;11:37.372;Rinat Salikhov;18:11:40.400;12:21.985;44.613;;4
60;Chandler Hull;18:13:26.707;14:08.292;Chandler Hull;18:14:14.035;14:55.620;47.328;;5
87;Rinat Salikhov;18:13:31.740;14:13.325;Rinat Salikhov;18:14:19.004;15:00.589;47.264;;5
4;Freddie Tomlinson;18:27:32.274;28:13.859;Freddie Tomlinson;18:36:29.420;37:11.005;8:57.146;;12
7;Marco Sorensen;18:50:16.233;50:57.818;Marco Sorensen;18:51:52.205;52:33.790;1:35.972;;24
59;Dean Macdonald;18:51:00.614;51:42.199;Joseph Loake;18:52:26.841;53:08.426;1:26.227;;24
11;Marcelo Tomasoni;18:55:55.339;56:36.924;Aaron Muss;18:57:26.564;58:08.149;1:31.225;;26
67;Scott Noble;18:58:50.048;59:31.633;Scott Noble;19:00:57.582;1:01:39.167;2:07.534;;27
24;Antoine Doquin;18:58:58.990;59:40.575;Antoine Doquin;19:00:26.475;1:01:08.060;1:27.485;;28
30;Matisse Lismont;19:00:33.048;1:01:14.633;Amaury Cordeel;19:01:59.519;1:02:41.104;1:26.471;;29
50;Sean Gelael;19:00:34.875;1:01:16.460;Lilou Wadoux;19:02:01.988;1:02:43.573;1:27.113;;29
84;Simon Reicher;19:00:58.874;1:01:40.459;Markus Winkelhock;19:02:27.412;1:03:08.997;1:28.538;;29
32;Kelvin van der Linde;19:02:01.599;1:02:43.184;Charles Weerts;19:03:28.195;1:04:09.780;1:26.596;;30
98;Augusto Farfus;19:02:11.455;1:02:53.040;Augusto Farfus;19:03:42.109;1:04:23.694;1:30.654;;30
46;Valentino Rossi;19:02:19.660;1:03:01.245;Max Hesse;19:03:46.013;1:04:27.598;1:26.353;;30
18;Mari Boya;19:02:22.618;1:03:04.203;Mari Boya;19:03:49.538;1:04:31.123;1:26.920;;30
9;Aleksei Nesov;19:02:23.218;1:03:04.803;Aliaksandr Malykhin;19:03:51.259;1:04:32.844;1:28.041;;30
25;Ezequiel Perez Companc;19:02:26.012;1:03:07.597;Ezequiel Perez Companc;19:03:55.285;1:04:36.870;1:29.273;;30
21;Sebastien Baud;19:02:26.882;1:03:08.467;Oliver Söderström;19:03:56.503;1:04:38.088;1:29.621;;30
52;Gilles Stadsbader;19:02:33.180;1:03:14.765;Matias Zagazeta;19:04:00.392;1:04:41.977;1:27.212;;30
177;Alfredo Hernandez Ortega;19:02:55.864;1:03:37.449;Alfredo Hernandez Ortega;19:04:42.388;1:05:23.973;1:46.524;;29
56;Giacomo Petrobelli;19:02:58.208;1:03:39.793;Giacomo Petrobelli;19:04:34.451;1:05:16.036;1:36.243;;30
42;Ahmad Al Harthy;19:02:59.481;1:03:41.066;Ahmad Al Harthy;19:04:26.546;1:05:08.131;1:27.065;;30
992;Christian Hahn;19:03:00.072;1:03:41.657;Ashley Sutton;19:04:36.614;1:05:18.199;1:36.542;;30
