Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;1;2:49.030;53.258;83;34.763;210;1:21.009;102;210
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;2;3:15.643;1:21.260;88;47.761;206;1:06.622;;206
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;3;3:03.189;1:05.045;88;48.178;200;1:09.966;;200
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;4;3:05.598;1:43.012;91;30.698;268;51.888;192;268
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;5;2:10.518;33.917;93;38.756;219;57.845;106;219
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;6;2:21.389;45.300;92;41.891;229;54.198;193;229
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;7;1:58.018;35.010;87;30.346;275;52.662;192;275
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;8;1:56.437;34.366;95;30.537;272;51.534;192;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;9;1:56.463;34.057;92;30.275;275;52.131;193;275
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;10;1:58.574;34.849;92;30.655;276;53.070;193;276
Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;11;1:57.993;34.229;90;30.352;278;53.412;191;278
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;12;1:56.700;34.170;93;30.350;275;52.180;192;275
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;13;1:56.916;34.511;82;30.701;272;51.704;192;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;14;1:56.241;33.856;89;30.393;274;51.992;193;274
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;15;1:57.645;34.540;90;30.674;275;52.431;192;275
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;16;1:56.733;34.073;90;30.319;276;52.341;193;276
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;17;1:58.473;34.757;91;30.345;277;53.371;193;277
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;18;1:56.991;34.275;91;30.288;276;52.428;193;276
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;19;1:57.765;34.195;90;30.317;276;53.253;191;276
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;20;1:57.516;34.302;91;30.589;274;52.625;193;274
Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;21;1:57.657;34.389;93;30.394;275;52.874;193;275
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;22;1:57.422;34.784;88;30.571;272;52.067;194;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;23;1:57.381;34.477;92;30.653;274;52.251;193;274
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;24;1:56.712;34.122;93;30.295;274;52.295;193;274
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;25;1:57.598;34.505;91;30.515;276;52.578;195;276
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;26;1:57.185;34.302;92;30.179;278;52.704;194;278
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;27;1:57.182;34.257;93;30.595;273;52.330;193;273
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;28;1:57.164;34.245;90;30.450;274;52.469;190;274
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;29;1:56.993;34.421;89;30.588;271;51.984;194;271
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;30;1:57.356;34.230;88;30.757;272;52.369;194;272
Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;31;1:56.243;34.095;92;30.512;270;51.636;193;270
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;32;1:56.231;33.995;92;30.547;270;51.689;194;270
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;33;1:56.809;34.079;92;30.331;273;52.399;193;273
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;34;1:56.523;33.964;85;30.478;273;52.081;194;273
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;35;1:56.207;33.997;91;30.541;270;51.669;194;270
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;36;1:55.866;33.759;93;30.490;270;51.617;194;270
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;37;2:05.562;33.829;91;30.487;272;1:01.246;;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;38;3:04.247;1:42.110;92;30.519;272;51.618;193;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;39;1:57.119;34.778;93;30.589;272;51.752;191;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;40;1:56.724;34.150;91;30.641;273;51.933;191;273
Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;41;1:55.980;33.940;91;30.517;272;51.523;191;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;42;1:55.807;33.795;93;30.488;272;51.524;192;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;43;1:56.062;33.822;92;30.150;274;52.090;192;274
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;44;1:55.899;33.872;93;30.297;275;51.730;192;275
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;45;1:56.030;33.873;93;30.226;274;51.931;191;274
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;46;1:56.175;33.961;92;30.437;272;51.777;193;272
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;47;1:56.393;33.908;91;30.351;274;52.134;193;274
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;48;1:57.053;34.413;90;30.368;275;52.272;193;275
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;49;1:56.351;33.942;92;30.606;271;51.803;192;271
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;50;1:56.118;34.047;93;30.442;273;51.629;193;273
